state,median_active_list_price
 AK,348625.0584848485
 AL,254605.872
 AR,202092.34974305556
 AZ,460841.8831195485
 CA,689726.363536842
 CO,663061.9485621405
 CT,406876.85553846153
 DC,597918.1403333333
 DE,374759.84826666664
 FL,406277.4967823129
 GA,301830.8440433338
 HI,952447.1678333334
 IA,196601.0316830601
 ID,503665.6209552798
 IL,166985.37900942183
 IN,230863.88987786262
 KS,171232.24306597744
 KY,231111.52658156026
 LA,220489.9850925839
 MA,981994.5388999999
 MD,399450.18363440863
 ME,370555.7044
 MI,246546.7320637681
 MN,283071.08668535826
 MO,219777.63836675524
 MS,213605.02885701548
 MT,512020.0513846844
 NC,348091.3885686275
 ND,210460.20206692914
 NE,257529.12296624668
 NH,454175.75415686273
 NJ,478031.5856190476
 NM,319410.043952527
 NV,414822.3307731826
 NY,305371.6258074074
 OH,217649.9962820513
 OK,233386.70959038165
 OR,518573.8932968211
 PA,228980.63707843138
 RI,580549.9528888889
 SC,306665.606852459
 SD,296781.3009293129
 TN,336608.9275702479
 TX,281876.0233961713
 UT,557369.9381754386
 VA,355222.5084643678
 VT,403116.21440740745
 WA,537389.4925888889
 WI,297306.79376842105
 WV,259980.07155555557
 WY,511515.69610226323
